Topic,Count,Name,Representation,Representative_Docs,Topic_Label
-1,7843,-1_coffee_taste_one_box,"['coffee', 'taste', 'one', 'box', 'flavor', 'cup', 'would', 'even', 'sugar', 'get']","['received two case petite cusine com earlier week figured would easy review could possibly wrong cat food cat eats food seems simple enough well problem cat well known eating anything refuse touch stuff rest review would think sort feline version steak lobster cat refuse play along though guess understand cat keep staring puzzled look face ordinary cat food least batch received even opened struck fact seemed liquid inside solid sure enough upon opening found content consist lot mean lot water consistency soup ordinary cat food human food able eat fork would need spoon maybe even straw seemed case variety tested cat cat refuse eat many flavor food put front sick seems quite healthy appetite regular dry food wish could come even single positive thing say petite cusine nice looking box', 'bought stuff reading review normally waste money store bought jerky since quality poor decided give try big mistake although come separate sealed bag opening started turning rancid within first week find expiration date know old purchased close expiration date tasted fine first opened went bad fast waste money', 'though know particular one recalled thought try give head true review product feature per say feel everyone need know company recalled product going right begin want say know unfortunately plenty human product get recalled important thing yes know every time eat buy type store bought food gamble family considers dog part family important many year ago research find best priced grain free dye food found food made diamond pet food first ingredient actual real meat plus grain free one made baby girl look healthy shiny also since filler quality ingredient actually made stool smaller less stinky less allergy stopped constant itching biting licking paw less tear stain actually loved maker named taste wild bison saddened diamond dog food recalled salmonella contamination company make various product recalled diamond natural wellness natural balance taste wild apex chicken soup soul canidae country value health natural balance kirkland signature natural balance premium edge professional solid gold saddened actually spend money better store dog food keep getting recalled many family unfortunately lost fur baby baby spent thousand dollar vet bill trying buying better higher priced dog food ingredient pretty thankful signed online email latest dog food recall last week hubby devastated see diamond dog food taste wild list sickened company careless reason buy higher priced food cuz suppose healthier wanted write try stop another baby getting sick even worse dying']",Coffee Flavor Profile
0,872,0_tea_chai_green_stash,"['tea', 'chai', 'green', 'stash', 'leaf', 'jasmine', 'cinnamon', 'taste', 'flavor', 'bag']","['tried republic tea double dark chocolate mate found rather bland tried tea pod cup water little taste trying tea stash premium tea come conclusion flavored tea english tea store online better quality tea bigelow lipton better taste', 'ordered black tea twice received green tea time try', 'first picture organic tea right picture longtime fan non organic stash green tea fact probably tried green tea people even imagine non organic stash green tea family drink organic mistake saw picture hit add cart without reading title arrived thought boy quickly filled tea jar bag one six box eat drink much organic possible thought going discover something new add shopping list disappointment two pot already discard left much lighter color used normally issue lack body come light tea bitter also taste similar celestial seasoning green tea opinion poor rating give taste bitter burnt burnt flavour stay mouth long time drinking recommend try non organic stash green tea find better recommend pas organic version please remember review based used four teabags one box perhaps willing try another box change mind think going happen']",Tea Flavor Varieties
1,452,1_china_treat_made_usa,"['china', 'treat', 'made', 'usa', 'dog', 'fda', 'pet', 'chicken', 'jerky', 'dogswell']","['giving dog treat long time found much cheaper learned chicken treat dog also cat believe made china investigated fda dog died consuming treat dogswell treat made china researched web matter bottom line take risk site say say cautious others say buy threw one bought got new one made usa wish gave choice made usa recommend everyone pet read label treat food sorry recommend', 'giving dog treat long time found much cheaper learned chicken treat dog also cat believe made china investigated fda dog died consuming treat dogswell treat made china researched web matter bottom line take risk site say say cautious others say buy threw one bought got new one made usa wish gave choice made usa recommend everyone pet read label treat food sorry recommend', 'item made china feed kid food made china feed dog food made china']",Dog Treats Made in USA
2,417,2_candy_gift_basket_melted,"['candy', 'gift', 'basket', 'melted', 'chocolate', 'jelly', 'box', 'arrived', 'item', 'received']","['every christmas send brother family gift basket prior year always used wine country gift basket year decided something different searched found gift basket seemed nice asked brother said packaging unimpressive food content overall next year back wine country gift basket', 'candy sent birthday gift first time using company person receiving gift said candy tasted old however company giving full refund', 'must admit gotten many gift basket time one indication gift basket iam missing anything start gift basket wrapped cellophane wide dark brown ribbon sticker say back mountain gift basket basket look generic cheap looking easter basket two handle one side basket iam sure made inside item nestled look straw item inside wrapped box say kenzi natural dark napolitans inside box raisinettes inside individual small solid dark chocolate thin red wrapped bar gray tinge next wrapped chocolate chip crispie marshmallow bar said package inside box goya spanish flan style custard inside rice crispie bar small chocolate chip took bite nearly rice crispie bar make home longshot next box venus stoned wheat wafer inside cracker wafer next lindt lindor truffle mint chocolate package inside individually wrapped next belgin truffle box individually wrapped inside next italian herb cheese spread box ounce white plastic container next box caramel fleur sel inside box crystal light lemonade box inside individually wrapped caramel next box ferrara milk chocolate covered raisin box grayish look covered raisin next box said milk chocolate napolitans inside royal box cherry gelatin inside individual thin small brown wrapped bar dark kenzi natural napolitans grayish tinge next box cafe vergnano biscoffee bar inside coffee vergano thin solid packaged bar sure coffee next one ounce bag trophy farm natural oven roasted peanut one ounce bag trophy farm natural fruit nut next sachet type box ernest hemingway highland select tea individually wrapped ernest hemingway tea bag next box said stauffer original recipe ginger snap inside box said stauffer original animal cracker inside ounce package stauffer original recipe ginger snap see coffee know definitely see salami stated description read asked receive basket description sounded would united nation basket item country intrigued instead item made united state sadly would much preferred fake box jello crystal light flan custard animal cracker rather real item least recognized fake box would actually something could used got plan throw away description say celebration mind joke get joke even tho sense humor endless unwrapping item minded quality item finished unwrapping everything glad point know gift basket selling even dollar would much basket gag gift find funny definitely would send someone else especially someone loved even liked unless trying get even someone even nutshell disappointed say least prof see online order something may thought actually receive ordered opinion someone else might enjoy gift basket cheap looking item inside cheap looking etc update receive another gift basket today one received today gift basket received wrote original review mean gift basket received today original one got prototype even gift basket received minus wierdness tackyness hundred word could write give description first nightmare gift basket received similarity original gift basket second gift basket gift basket one received today darker color everything else first gift basket received actual basket note taped outside gift basket showing orginal gift basket received pre production prototype mock never intended released general public hope never occured gift basket would ever receive would one anyone else would received obviously company need better quality control one originally received never would let see light day period hoping gift basket received today would one originally supposed receive see really one got today entirely different gift basket together gift basket received today one entirely devoted coffee period included ground irish coffee ounce brand bewley ireland back say comfort food inc north andover giving coffee away stand anything irish cream matter packet different ground coffee ounce flavor breakfast blend amaretto royale moca java company called arbuckle city verona packet coffee supposed make cup coffee depending strong coffee mug say warm mug coffee best igourment com standard sized mug writing brown color mug white beige color also giving mug away kind mug use either coffee tea mug small box say sugar raw packet know buy brand grocery store taller box say creamer coffee inside box packet generic looking non dairy creamer also giving away use powdered creamer liquid flavored creamer taller box say coffee stirrer inside wooden coffee stirrer thin popsicle stick even plastic coffee stirrer roll king original peppermint assume kind mint ounce box caffe vergnano biscoffee ounce receive thing first gift basket taste almond cooky box say italy back box state shown hardly italy several small packet biscuit type cooky coffee total summary gift basket tacky etc one first gift basket received call one great either send gift basket anyone know look gourmet thing keeping packet coffee sugar raw tho rule use sugar period never coffee use flavored liquid creamer coffee maybe basket rest giving away really hard give update since second gift basket first one received far content basket hate say leave anyone care read review want purchase either gift basket others company company period lack imagination far product packaging include gift basket rate gift basket based soley content included either gift basket would say first gift basket received variety second gift basket could see content first gift basket would contained minus wierd packaging tho product one looked old non edible threw one away period even give gift basket away real question summary company named igourmet gourmet product also supposed product gift basket contained item include gift basket could find either product higher quality product grocery store said hard update review gift basket entirely different compare post review first review state product included second gift basket leave rest potential buyer considering purchasing gift basket company appreciate getting second gift basket first one kind dreading would receive second gift basket one wow factor quality look especially something gift basket would product included would high quality product quality packaging enjoy trying product company perhaps product never tried item included gift basket presentation matter show cheap also understand company specializes gift basket would include item could easily find grocery store lower quality much thought go company gift basket company made gift basket would want look alot thought went included gift basket item include packaging etc total package matter end would want gift basket memorable thoughtful enjoyable company gift basket forgettable sadly rate second gift basket many star would give would give generous sorry see']",Melted Chocolate Gift
3,353,3_price_dollar_bottle_store,"['price', 'dollar', 'bottle', 'store', 'shipping', 'pay', 'grocery', 'local', 'cost', 'cheaper']","['item lot cheaper grocery store dollar bag local grocery store', 'would pay pack get item sale less price paid one case get three case price price', 'sell grocery store bottle make dollar expensive']",Grocery Price Comparison
4,268,4_order_item_coldaid_received,"['order', 'item', 'coldaid', 'received', 'email', 'fluaid', 'shipping', 'company', 'sent', 'shipped']","['gold prince made terrible mistake two product coldaid fluaid different formulary unfortunately display fluaid picture website website word coldaid separate coldaid regardless order fluaid get coldaid picture word drop menu worthless default coldaid want fluaid superior buy seller website mistake http www com ref rev prod title', 'gold prince made terrible mistake two product coldaid fluaid different formulary unfortunately display fluaid picture website website word coldaid separate coldaid regardless order fluaid get coldaid picture word drop menu worthless default coldaid want fluaid superior buy seller website mistake http www com ref rev prod title', 'placed order online barry farm december website stated order would processed shipped within hour day initial order confirmation heard nothing company order would shipped emailed ask order january responded january day order placed stating one item back ordered website specifically state hold order back ordered item called company told needed item without backordered item later january ensured would arrive received email january informing order shipped without backordered item would receiving refund missing item however package arrive promised forcing purchase item elsewhere emailed merchant asked refund shipping charge since accept return refused stating since error ups fault even though website say ship within day hold back ordered item unacceptable behavior merchant able return item full refund minimum received refund shipping charge item longer need cannot use']",Order Shipping Update
5,265,5_coconut_water_zico_coco,"['coconut', 'water', 'zico', 'coco', 'vita', 'concentrate', 'bottle', 'plastic', 'natural', 'taste']","['tried vitacoco naked coconut water contain one ingredient natural coconut water however zico coconut water made concentrate contains added natural ingredient trader joes zico cost buck price coconut water vitacoco natural flavor added concentrate packaging advertises percent less sugar well took coconut water replaced water nasty add natural flavor buy brand little kid used suck water squirt gun taste coconut water resembles plastic water small hint coconut water brand much better actually natural price get coconut water concentrate favorite', 'tried vitacoco naked coconut water contain one ingredient natural coconut water however zico coconut water made concentrate contains added natural ingredient trader joes zico cost buck price coconut water vitacoco natural flavor added concentrate packaging advertises percent less sugar well took coconut water replaced water nasty add natural flavor buy brand little kid used suck water squirt gun taste coconut water resembles plastic water small hint coconut water brand much better actually natural price get coconut water concentrate favorite', 'taste highly diluted coconut water tasted vita coco zico naked coconut water vita coco taste coconut water zico coconut water water finally naked water coconut water stay away way taste coconut water best vita coco']",Coconut Water Beverage
6,261,6_chocolate_cocoa_hot_hershey,"['chocolate', 'cocoa', 'hot', 'hershey', 'dark', 'bar', 'powder', 'milk', 'white', 'swiss']","['really hot chocolate year round find drinking one cup idea hot weather literally force drink entire cup white chocolate well regular chocolate funky taste first thought something white chocolate since usually drink white chocolate next day tried regular taste made tea coffee brewer taste also made kid hot chocolate without taste would say particular unfortunately cannot send back due location know never anything company', 'used buy ghirardelli white chip specifically one could find contained cocoa butter year back changed formulation include white chocolate cocoa butter removed word chocolate name need update title recently able find real white chocolate chunk chip whole food buy cooky instead ghirardelli listening reason bought brand instead competitor used use cocoa butter white chip white chocolate chip introduced brand buy baking bar milk semi sweet chocolate chip candy hot cocoa easily spending annually ghirardelli product chip market without cocoa butter year ago buying anything brand today please reverse bad corporate decision made restore cocoa butter cocoa butter white chip change image premium brand regular brand', 'send cocoa lindt chocolate new recipe calorie serving sugar take crappy milk chocolate get cheap easter bunny none cocoa bite used kind sad since chocolate used best readily available dark chocolate market looking dark chocolate kind low carbs save money buy hersey bar']",Chocolate Varieties
7,254,7_taste_tasted_horrible_gross,"['taste', 'tasted', 'horrible', 'gross', 'smell', 'chemical', 'bad', 'bitter', 'awful', 'sour']","['bought based review saying taste great extremely disappointed soon started steeping smell filled kitchen daughter even asked horrible smell sadly tea tried taste sweaty sock also gross tried adding honey drinking cold drinking hot etc taste horrible far diet aid think guess lot excrement possibly even doubled suggested amount still anything happen toilet lot either big thumb', 'bought based review saying taste great extremely disappointed soon started steeping smell filled kitchen daughter even asked horrible smell sadly tea tried taste sweaty sock also gross tried adding honey drinking cold drinking hot etc taste horrible far diet aid think guess lot excrement possibly even doubled suggested amount still anything happen toilet lot either big thumb', 'bought based review saying taste great extremely disappointed soon started steeping smell filled kitchen daughter even asked horrible smell sadly tea tried taste sweaty sock also gross tried adding honey drinking cold drinking hot etc taste horrible far diet aid think guess lot excrement possibly even doubled suggested amount still anything happen toilet lot either big thumb']",Bad Taste Experience
8,219,8_cat_food_eat_touch,"['cat', 'food', 'eat', 'touch', 'sniff', 'refused', 'walked', 'vet', 'picky', 'ate']","['short background eating habit two cat one super finicky cat eat anything even non picky cat touch knew something right food refused eat premise behind food natural grain free going back prior food cat hopefully local animal shelter make use food cat even eat', 'short background eating habit two cat one super finicky cat eat anything even non picky cat touch knew something right food refused eat premise behind food natural grain free going back prior food cat hopefully local animal shelter make use food cat even eat', 'short background eating habit two cat one super finicky cat eat anything even non picky cat touch knew something right food refused eat premise behind food natural grain free going back prior food cat hopefully local animal shelter make use food cat even eat']",Picky Cat Behavior
